RunId,iteration,Step,green,yellow,red,total,cumulative_distance,step_green_zero,step_yellow_zero,step_red_zero,step_total_zero,step_all_zero,cleaned,steps_executed,disposed_green,disposed_yellow,disposed_red,disposed_total,n_green_agents,n_yellow_agents,n_red_agents,n_green_waste,n_yellow_waste,n_red_waste,width,height,exploration_share_interval_steps,policy_profile_green,policy_profile_yellow,policy_profile_red,seed,config
0,0,0,18,18,18,54,0,,,,,,False,0,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,1,18,18,18,54,885,,,,,,False,1,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,2,18,18,18,54,886,,,,,,False,2,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,3,18,18,18,54,885,,,,,,False,3,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,4,16,15,20,51,827,,,,,,False,4,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,5,14,14,21,49,771,,,,,,False,5,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,6,12,15,21,48,735,,,,,,False,6,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,7,12,15,21,48,710,,,,,,False,7,0,0,0,0,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,8,12,11,22,45,655,,,,,,False,8,0,0,1,1,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,9,12,11,22,45,645,,,,,,False,9,0,0,1,1,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,10,12,11,22,45,637,,,,,,False,10,0,0,1,1,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,11,10,12,22,44,601,,,,,,False,11,0,0,1,1,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,12,10,12,21,43,590,,,,,,False,12,0,0,2,2,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,13,10,12,21,43,582,,,,,,False,13,0,0,2,2,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,14,10,12,20,42,579,,,,,,False,14,0,0,3,3,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,15,10,12,20,42,581,,,,,,False,15,0,0,3,3,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,16,10,12,19,41,578,,,,,,False,16,0,0,4,4,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,17,10,12,19,41,579,,,,,,False,17,0,0,4,4,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,18,10,12,19,41,578,,,,,,False,18,0,0,4,4,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,19,10,12,18,40,580,,,,,,False,19,0,0,5,5,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,20,10,12,18,40,579,,,,,,False,20,0,0,5,5,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,21,10,12,18,40,576,,,,,,False,21,0,0,5,5,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,22,10,10,18,38,553,,,,,,False,22,0,0,6,6,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,23,10,10,18,38,544,,,,,,False,23,0,0,6,6,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,24,10,10,18,38,534,,,,,,False,24,0,0,6,6,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,25,10,10,18,38,520,,,,,,False,25,0,0,6,6,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,26,10,9,18,37,508,,,,,,False,26,0,1,6,7,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,27,10,7,19,36,487,,,,,,False,27,0,1,6,7,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,28,10,7,19,36,478,,,,,,False,28,0,1,6,7,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,29,10,7,18,35,471,,,,,,False,29,0,1,7,8,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,30,10,7,18,35,464,,,,,,False,30,0,1,7,8,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
0,0,31,10,7,17,34,459,,,,,,False,31,0,1,8,9,14,14,14,18,18,18,22,22,10,widespread_com_smart_explo,widespread_com_smart_explo,widespread_com_smart_explo,4000,"A(g14,y14,r14)-W(g18,y18,r18)-G(22x22)-P(gwidespread_com_smart_explo,ywidespread_com_smart_explo,rwidespread_com_smart_explo)"
